oldUri,newUri
http://hdl.handle.net/11459/CCR_C-2629_cea0bd03-e626-0be8-e376-b029b6279fd0,http://www.wikidata.org/entity/Q14357850
http://hdl.handle.net/11459/CCR_C-2630_e5928f3b-f466-1e5a-bd6e-ac5060435f77,http://www.wikidata.org/entity/Q190375
http://hdl.handle.net/11459/CCR_C-2631_e29c95b4-0df8-88ec-e760-4ea492fd4d47,http://www.wikidata.org/entity/Q1478235
http://hdl.handle.net/11459/CCR_C-2632_2312c07f-501f-0aaa-1071-e196b29bf589,http://www.wikidata.org/entity/Q113621347
http://hdl.handle.net/11459/CCR_C-2633_32b8392a-c5c3-a472-26fa-9645636885c6,http://www.wikidata.org/entity/Q1133221
http://hdl.handle.net/11459/CCR_C-2634_9f56fdd1-f49f-489f-b81c-feeca06c4499,http://www.wikidata.org/entity/Q184524
http://hdl.handle.net/11459/CCR_C-2635_ff672442-a332-9256-8833-74b5eb34fa83,http://www.wikidata.org/entity/Q113621348
http://hdl.handle.net/11459/CCR_C-2637_c0b989d6-a29f-f8d2-5819-164d8538bed4,http://www.wikidata.org/entity/Q15727633
http://hdl.handle.net/11459/CCR_C-2638_811b5e3d-b6de-20dd-fb18-467a29a38a08,http://www.wikidata.org/entity/Q38311
http://hdl.handle.net/11459/CCR_C-2639_157182a7-4268-7f17-d8ed-6ed882ccd9a2,http://www.wikidata.org/entity/Q215948
http://hdl.handle.net/11459/CCR_C-2640_86c9afb9-66c7-3145-219d-0b3c346dfa2d,http://www.wikidata.org/entity/Q484761
http://hdl.handle.net/11459/CCR_C-2641_c5096a00-5b93-e31e-e19e-85c30f4ac509,http://www.wikidata.org/entity/Q35395
http://hdl.handle.net/11459/CCR_C-2642_2b31550c-0b09-795a-a7e7-1624ceab9f82,http://www.wikidata.org/entity/Q40998
http://hdl.handle.net/11459/CCR_C-2643_21f644b7-876c-8fcb-3852-db34ca6d11cb,http://www.wikidata.org/entity/Q181839
http://hdl.handle.net/11459/CCR_C-2644_5d5471ce-0637-70fc-af5b-56b6ef31d8c1,http://www.wikidata.org/entity/Q179488
http://hdl.handle.net/11459/CCR_C-2646_53b373e7-294b-39ce-3f8d-9b192c624e1e,http://www.wikidata.org/entity/Q160845
